"","Transmitter","days"
"1","A69-1601-28264",11.06
"2","A69-1601-28266",19.05
"3","A69-1601-28267",17.49
"4","A69-1601-52622",32.25
"5","A69-1601-52623",23.14
"6","A69-1601-52625",32.45
"7","A69-1601-52632",39.58
"8","A69-1601-52633",24.27
"9","A69-1601-52635",21.38
"10","A69-1601-52638",45.17
"11","A69-1601-52639",30.04
"12","A69-1601-52640",100.16
"13","A69-1601-52641",28.29
"14","A69-1601-52642",28.45
"15","A69-1601-52644",38.76
"16","A69-1601-52645",9.49
"17","A69-1601-52646",10.91
"18","A69-1601-52647",26.02
"19","A69-1601-52648",27.39
"20","A69-1601-52649",14.68
"21","A69-1601-52651",26.71
"22","A69-1601-52653",25.13
"23","A69-1601-52654",32.18
"24","A69-1601-52657",108.03
"25","A69-1601-52658",111.51
"26","A69-1601-52664",29.93
"27","A69-1601-57451",43.27
"28","A69-1601-57452",20.67
"29","A69-1601-57454",7.71
"30","A69-1601-57455",108.62
"31","A69-1601-57456",9.59
"32","A69-1601-57457",72.92
"33","A69-1601-57459",19.6
"34","A69-1601-57462",19.41
"35","A69-1601-57464",62.1
"36","A69-1601-57468",89.23
"37","A69-1601-57470",10.28
"38","A69-1601-57472",4.09
"39","A69-1601-57475",352.85
"40","A69-1601-57477",50.12
