"","X.2","station","Date","Transmitter","X.1","X","Receiver","latitude","longitude","network","residency","Detections","Arrival","Departure","Absence..days.","residencetime","Arrivalnum","Departurenum","Station_distance","Y","seconds","swimdistance","swimtime","swimspeed","Month","Year","Length","Weight","Stadium","Catch_location","daylength","dawnlength","dusklength","nightlength","Departure.dt","daynight","dts","move.to.sea.middle","move.to.sea.last","movement1","movement2","movement3"
"1",25,"s-6","2015-04-24","A69-1601-28264",16,4.2184,"VR2W-115441",51.12287,4.2184,"Zeeschelde",1429906320,6,2015-04-24 22:12:00,2015-04-24 22:18:00,0.247222222222222,360,1429913520,1429913880,53844.1791224018,51.12287,1549620,5002.62344766761,3360,1.48887602609155,"4",2015,636,449.8,"FIII",1,14.3833333333333,0.616666666666667,0.6,8.4,"2015-04-24 22:18:00","Night",53844.1791224018,TRUE,FALSE,1,0,1
"2",61,"s-Dendermonde","2016-05-05","A69-1601-28266",61,4.1175,"VR2W-112292",51.03839,4.11775,"Zeeschelde",1462421880,3,2016-05-05 06:18:00,2016-05-05 06:32:00,370.417361111111,840,1462429080,1462429920,32994.2844251379,51.03855,16033440,0,0,0,"5",2016,695,778,"FIII",3,15.0833333333333,0.633333333333333,0.65,7.63333333333333,"2016-05-05 06:32:00","Day",32994.2844251379,FALSE,FALSE,0,0,0
"3",431,"s-4a","2015-10-10","A69-1601-28267",439,4.18166,"VR2W-122363",51.03209,4.18166,"Zeeschelde",1444498800,6,2015-10-10 19:40:00,2015-10-10 19:48:00,-2.03125,480,1444506000,1444506480,40804.8574768819,51.03203,1681380,0,0,0,"10",2015,638,539,"FIII",3,11.0666666666667,0.55,0.55,11.8333333333333,"2015-10-10 19:48:00","Night",40804.8574768819,FALSE,FALSE,0,0,0
"4",446,"s-2","2016-10-11","A69-1601-52622",446,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476184680,18,2016-10-11 13:18:00,2016-10-11 13:52:00,351.846527777778,2040,1476191880,1476193920,0,51.00588,2811060,0,0,0,"10",2016,655,596,"FV",6,10.95,0.566666666666667,0.566666666666667,11.9166666666667,"2016-10-11 13:52:00","Day",0,FALSE,FALSE,0,0,0
"5",561,"s-2","2016-10-11","A69-1601-52623",561,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476184620,10,2016-10-11 13:17:00,2016-10-11 13:30:00,-25.9638888888889,780,1476191820,1476192600,0,51.00588,2098380,0,0,0,"10",2016,920,1303.2,"FIV",6,10.95,0.566666666666667,0.566666666666667,11.9166666666667,"2016-10-11 13:30:00","Day",0,FALSE,FALSE,0,0,0
"6",1073,"s-2","2016-10-11","A69-1601-52624",1073,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476185160,100,2016-10-11 13:26:00,2016-10-11 15:18:00,-20.5027777777778,6720,1476192360,1476199080,0,51.00588,7082040,0,0,0,"10",2016,734,701.4,"FIII",6,10.95,0.566666666666667,0.566666666666667,11.9166666666667,"2016-10-11 15:18:00","Day",0,FALSE,FALSE,0,0,0
"7",1104,"s-2","2016-10-11","A69-1601-52625",1104,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476185100,12,2016-10-11 13:25:00,2016-10-11 13:57:00,-82.0104166666667,1920,1476192300,1476194220,0,51.00588,2822520,0,0,0,"10",2016,666,462.2,"FIII",6,10.95,0.566666666666667,0.566666666666667,11.9166666666667,"2016-10-11 13:57:00","Day",0,FALSE,FALSE,0,0,0
"8",1430,"s-2","2016-10-12","A69-1601-52626",1430,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476264600,232,2016-10-12 11:30:00,2016-10-12 18:05:00,-23.3375,23700,1476271800,1476295500,0,51.00588,23700,0,0,0,"10",2016,820,1149,"FIV",6,10.9,0.55,0.566666666666667,11.9833333333333,"2016-10-12 18:05:00","Night",0,FALSE,FALSE,0,0,0
"9",1431,"s-2","2016-10-12","A69-1601-52627",1431,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476264540,22,2016-10-12 11:29:00,2016-10-12 12:04:00,-0.275,2100,1476271740,1476273840,0,51.00588,15610980,0,0,0,"10",2016,749,774.6,"FIII",6,10.9,0.55,0.566666666666667,11.9833333333333,"2016-10-12 12:04:00","Day",0,FALSE,FALSE,0,0,0
"10",1505,"s-2","2016-10-12","A69-1601-52628",1505,3.77876,"VR2W-112287",51.00588,3.77876,"Zeeschelde",1476264660,58,2016-10-12 11:31:00,2016-10-12 13:59:00,-180.68125,8880,1476271860,1476280740,0,51.00588,8880,0,0,0,"10",2016,700,588.6,"FIII",6,10.9,0.55,0.566666666666667,11.9833333333333,"2016-10-12 13:59:00","Day",0,FALSE,FALSE,0,0,0
