ID;Datum;Uur;Lengte (mm);Gewicht (g);Diameter oog (vertikaal - mm);Diameter oog (horizontaal - mm);Lengte borstvin (mm);Index;Stadium;Vangstlocatie;Zendernummer;Opmerkingen
1;17/04/15;12:22:47;355;63;3,5;4;14;47,2235;I;Lepelstraat (Rupelmonde);;Zonder schuifmaat
2;17/04/15;12:26:57;511;208,9;3,5;4;20;73,64975;FII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
3;17/04/15;12:30:11;355;65,3;3;3,5;16;45,4301;I;Lepelstraat (Rupelmonde);;Zonder schuifmaat
4;17/04/15;12:32:24;570;361,3;5;6;29;90,613;FII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
5;17/04/15;12:35:31;682;673,7;6,5;7;32;95,6891;FIII;Lepelstraat (Rupelmonde);;"Zonder schuifmaat; ontstoken anus"
6;17/04/15;12:37:02;582;331,1;5,5;6;24;95,28675;FII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
7;17/04/15;12:37:29;370;106,3;3;4;18,00;47,2466;I;Lepelstraat (Rupelmonde);;Zonder schuifmaat
8;17/04/15;12:39:25;600;383;6;7;28,00;102,643;FIII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
9;17/04/15;12:43:26;546;277,3;5;6;21;87,545;FII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
10;17/04/15;12:45:02;354;80;4;3,2;15;44,9276;I;Lepelstraat (Rupelmonde);;Zonder schuifmaat
11;17/04/15;12:47:09;641;552,1;5;6;29;87,069;FII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
12;17/04/15;12:49:10;636;449,8;6;6;32;104,4134;FIII;Lepelstraat (Rupelmonde);28264;Zonder schuifmaat
13;17/04/15;13:24:11;545;294;4;4,5;26;81,07775;FII;Lepelstraat (Rupelmonde);;Zonder schuifmaat
14;17/04/15;13:28:48;685;446,5;6,5;7;32;125,3835;FIII;Lepelstraat (Rupelmonde);28265;Zonder schuifmaat
15;21/05/15;11:42:42;477;163,2;4,99;5,42;22,54;81,409055;FII;STUW DIJLE (MECHELEN NEKKERSPOEL);;
16;21/05/15;11:52:00;696;773,5;7,86;7,94;29,42;94,35914;FIII;STUW DIJLE (MECHELEN NEKKERSPOEL);34461;Hervangst 1ste gezenderde paling Dijle
17;21/05/15;12:00:08;505;217,6;5,25;5,92;22,78;85,336435;FII;STUW DIJLE (MECHELEN NEKKERSPOEL);;
18;21/05/15;12:01:58;467;168,3;5,44;5,12;21,39;77,44488;FII;STUW DIJLE (MECHELEN NEKKERSPOEL);;
19;21/05/15;12:30:41;735;903,2;8,52;9,55;33,06;104,417745;FIV;STUW DIJLE (MECHELEN NEKKERSPOEL);58623;
20;21/05/15;12:25:29;434;134,3;5,32;5,99;19,73;73,350925;FII;STUW DIJLE (MECHELEN NEKKERSPOEL);;
21;21/05/15;12:27:57;508;240,6;5,32;6,3;25,65;87,21557;FII;STUW DIJLE (MECHELEN NEKKERSPOEL);;
22;21/05/15;12:42:17;625;422,2;6,54;7,82;26,91;109,56966;FIII;STUW DIJLE (MECHELEN NEKKERSPOEL);58618;
23;21/05/15;12:52:23;543;241,8;5,76;5,91;22,12;94,283105;FII;STUW DIJLE (MECHELEN NEKKERSPOEL);;
24;22/05/15;8:39:07;725;775,2;7,88;8,52;33,7;110,0546;FIII;STUW DIJLE (MECHELEN NEKKERSPOEL);;foto 3
