ID;Width pect fin;Head lenght;Width Eye ant;snout length;Width eye post;Width skull
181;4,627;10,489;2,146;1,698;3,208;2,713
256;3,619;8,344;1,333;1,152;1,81;2,048
345;3,705;8,494;1,639;1,299;2,041;2,198
82;2,343;6,493;1,022;0,959;1,275;1,589
189;3,025;7,41;1,181;0,773;1,83;1,864
155;3,322;7,699;1,464;1,155;1,788;2,034
234;2,955;6,415;1,391;0,924;1,902;1,966
328;3,651;8,036;1,412;1,032;2,032;2,075
9;2,871;7,195;1,332;0,891;1,717;1,844
260;1,84;4,766;0,878;0,658;1,134;1,146
396;3,194;8,929;1,643;1,408;2,046;2,352
257;3,427;8,103;1,643;1,142;2,036;2,249
402;4,096;9,947;1,657;1,479;2,273;2,763
93;3,997;10,97;2,086;1,414;2,51;3,187
149;2,133;5,839;0,986;0,837;1,185;1,458
143;3,396;7,215;1,291;0,9;1,697;1,988
354;2,822;7,671;1,396;1,197;1,749;2,069
329;1,112;3,6;0,613;0,497;0,789;0,87
72;1,085;3,242;0,527;0,443;0,645;0,777
215;3,64;8,262;1,399;1,234;1,967;2,266
218;2,021;5,877;0,888;0,847;1,139;1,533
267;4,131;9,146;1,671;1,2;2,173;2,533
209;4,58;9,238;2,132;1,733;3,392;2,752
279;3,687;7,332;1,486;1,11;1,863;2,03
326;3,346;7,957;1,567;1,176;2;2,181
337;2,381;6,877;1,048;0,954;1,619;1,81
8;3,826;8,54;1,623;1,13;2,065;2,351
298;2,375;6,469;1,176;0,86;1,446;1,722
332;3,095;8,152;1,546;1,172;1,845;2,194
73;3,464;7,716;1,425;1,062;1,79;2,135
198;3,281;7,215;1,406;1;1,797;1,999
24;4,44;9,237;2,008;1,82;3,278;2,666
231;3,75;8,578;1,674;1,288;2,102;2,442
283;1,684;4,407;0,849;0,681;1,081;1,135
312;2,806;6,292;1,244;0,976;1,367;1,683
239;1,352;4,141;0,767;0,654;0,834;1,046
79;1,531;4,703;0,811;0,742;1,038;1,205
270;2,256;5,421;1,11;0,7;1,327;1,425
111;2,487;6,336;1,162;0,946;1,308;1,71
98;4,492;9,166;1,753;1,337;2,304;2,693
323;3,415;8,395;1,579;1,145;1,972;2,383
14;3,675;8,7;1,564;1,101;2,23;2,503
249;3,604;7,816;1,281;1,041;2,009;2,191
208;2,577;6,361;1,308;1,013;1,829;1,746
386;2,114;6,239;1,051;0,953;1,281;1,672
299;2,658;7,142;1,288;1,105;1,632;1,959
248;1,37;3,543;0,667;0,468;0,734;0,9
347;1,758;4,888;0,866;0,761;1,076;1,312
392;3,271;8,129;1,526;1,276;2,054;2,334
205;1,673;4,605;0,764;0,711;0,846;1,211
69;2,057;4,486;0,86;0,548;1,114;1,179
179;3,12;8,152;1,522;1,379;1,898;2,305
316;3,247;7,425;1,371;1,086;1,962;2,11
327;2,944;6,734;1,368;0,957;1,658;1,867
145;2,817;7,137;1,387;1,174;1,543;1,99
240;2,373;6,927;1,391;1,146;1,61;1,952
192;3,886;8,085;1,586;1,169;2,242;2,413
61;2,696;6,119;1,21;0,922;1,458;1,742
398;2,571;6,162;1,261;0,863;1,495;1,71
3;1,836;4,802;0,905;0,719;1,181;1,285
294;2,127;5,331;0,963;0,894;1,192;1,465
195;3,691;7,701;1,528;1;2,054;2,265
334;3,979;9,816;1,873;1,499;2,341;2,924
297;2,895;7,605;1,582;1,212;1,541;2,105
331;1,68;4,553;0,825;0,7;1,075;1,225
296;2,674;6,606;1,317;1,027;1,526;1,898
264;2,088;5,382;1,071;0,747;1,29;1,475
373;3,718;9,868;1,736;1,435;2,259;2,925
186;2,128;6,972;1,306;1,128;1,514;1,979
152;2,753;7,04;1,333;1,085;1,536;1,989
293;1,749;4,948;0,9;0,742;1,08;1,341
280;3,147;8,429;1,557;1,169;1,884;2,503
188;1,898;6,056;1,033;0,957;1,305;1,679
250;3,192;6,874;1,235;1,064;1,682;2
100;3,982;7,711;1,48;1,21;2,004;2,294
271;2,33;6,235;1,239;1,045;1,342;1,741
378;1,807;5,315;0,915;0,853;1,133;1,458
187;2,186;6,046;1,162;0,988;1,341;1,699
317;1,029;3,235;0,528;0,487;0,628;0,847
361;2,574;7,003;1,265;1,071;1,667;2,018
76;2,459;6,1;1,119;1,026;1,403;1,705
86;2,017;5,11;0,983;0,811;1,118;1,401
153;2,929;7,121;1,381;1,137;1,715;2,096
64;1,593;5,289;1,017;0,908;1,154;1,478
57;3,132;6,955;1,302;0,888;1,823;2,063
220;0,952;2,878;0,506;0,439;0,664;0,756
221;2,65;7,147;1,303;1,123;1,778;2,071
17;3,255;7,279;1,417;0,946;1,792;2,097
394;3,715;10,141;1,723;1,57;2,263;3,078
393;1,682;3,954;0,709;0,578;0,97;1,074
141;5,101;10,618;2,332;1,627;3,019;3,338
101;4,338;9,647;1,831;1,205;2,563;3,004
196;3,339;7,577;1,558;1,112;2,038;2,29
2;2,641;6,636;1,337;1,062;1,652;1,927
356;3,217;7,475;1,553;1,196;1,943;2,247
367;2,866;7,452;1,374;1,239;1,692;2,174
262;3,571;8,469;1,767;1,288;2,062;2,577
301;2,726;6,305;1,248;0,974;1,523;1,848
83;4,637;9,765;1,996;1,301;2,458;3,014
311;2,212;5,915;1,168;0,941;1,379;1,675
94;3,957;8,585;1,757;1,376;2,351;2,666
144;4,739;10,427;1,933;1,421;2,652;3,4
266;3,135;7,409;1,556;1,091;1,889;2,2
343;3,1;6,5;1,201;0,901;1,675;1,925
335;2,069;4,613;1,034;0,724;1,449;1,31
236;1,198;3,681;0,622;0,535;0,888;1,042
19;4,455;9,527;1,73;1,31;2,551;2,986
87;2,635;6,582;1,239;0,962;1,523;1,84
364;1,997;5,336;1,073;0,792;1,253;1,521
70;3,013;7,533;1,352;1,016;1,877;2,274
75;4,349;9,339;1,918;1,44;2,459;2,902
105;3,017;7,11;1,383;1,084;1,783;2,118
300;2,586;6,835;1,26;1,031;1,708;2,033
